Symbol,Name,LastSale,MarketCap,MarketCap_Dollars,IPOyear,Sector,industry,Summary Quote
AIC,Arlington Asset Investment Corp,24.55,n/a,n/a,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aic
AIW,Arlington Asset Investment Corp,24.65,n/a,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiw
AHH^A,"Armada Hoffler Properties, Inc.",26.4,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahh^a
ARR^B,"ARMOUR Residential REIT, Inc.",25.0584,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arr^b
AHT^D,Ashford Hospitality Trust Inc,25.56,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,22.11,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,22.22,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^g
AHT^H,Ashford Hospitality Trust Inc,22.15,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^h
AHT^I,Ashford Hospitality Trust Inc,22.21,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^i
AHL^C,Aspen Insurance Holdings Limited,26.26,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahl^c
AHL^D,Aspen Insurance Holdings Limited,25.14,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahl^d
ASB^C,Associated Banc-Corp,26.1,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/asb^c
ASB^D,Associated Banc-Corp,25.35,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/asb^d
ASB^E,Associated Banc-Corp,26.3,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/asb^e
AGO^B,Assured Guaranty Ltd.,26.9248,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^b
AGO^E,Assured Guaranty Ltd.,26.4,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^e
AGO^F,Assured Guaranty Ltd.,25.69,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^f
TBB,AT&T Inc.,25.9,n/a,n/a,2017,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tbb
TBC,AT&T Inc.,26.3,n/a,n/a,2018,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tbc
ATH^A,Athene Holding Ltd.,26.09,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ath^a
AVTR^A,"Avantor, Inc.",65.82,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/avtr^a
AXS^D,Axis Capital Holdings Limited,24.7809,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/axs^d
AXS^E,Axis Capital Holdings Limited,25.1005,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/axs^e
AXO,"Axos Financial, Inc.",25.8,n/a,n/a,2018,Finance,Savings Institutions,https://www.nasdaq.com/symbol/axo
BRPM.U,B. Riley Principal Merger Corp.,n/a,n/a,n/a,2019,n/a,n/a,https://www.nasdaq.com/symbol/brpm.u
BRPM.WS,B. Riley Principal Merger Corp.,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brpm.ws
BANC^D,"Banc of California, Inc.",25.95,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/banc^d
BANC^E,"Banc of California, Inc.",26.4,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/banc^e
SAN^B,"Banco Santander, S.A.",22.4,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/san^b
BAC^A,Bank of America Corporation,26.72,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bac^a
BAC^B,Bank of America Corporation,26.78,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bac^b
BAC^C,Bank of America Corporation,26.42,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bac^c
BAC^E,Bank of America Corporation,22.57,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bac^e
BAC^K,Bank of America Corporation,26.6666,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bac^k
BAC^L,Bank of America Corporation,1369.8,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bac^l
