Symbol,Name,LastSale,MarketCap,MarketCap_Dollars,IPOyear,Sector,industry,Summary Quote
AY,Atlantica Yield plc,23.38,2.34B,2340000000,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ay
HALO,"Halozyme Therapeutics, Inc.",16.11,2.34B,2340000000,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/halo
TWOU,"2U, Inc.",36.41,2.3B,2300000000,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
FFBC,First Financial Bancorp.,23.34,2.3B,2300000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ffbc
PEGI,Pattern Energy Group Inc.,23.32,2.3B,2300000000,2013,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pegi
AIMC,Altra Industrial Motion Corp.,35.44,2.29B,2290000000,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc
PDCE,"PDC Energy, Inc.",34.58,2.29B,2290000000,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pdce
YJ,Yunji Inc.,10.6,2.29B,2290000000,2019,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/yj
EXLS,"ExlService Holdings, Inc.",66.4,2.28B,2280000000,2006,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/exls
INSM,"Insmed, Inc.",26.05,2.28B,2280000000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/insm
EGHT,8x8 Inc,23.57,2.27B,2270000000,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
URBN,"Urban Outfitters, Inc.",23.17,2.27B,2270000000,1993,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/urbn
FMBI,"First Midwest Bancorp, Inc.",20.08,2.24B,2240000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fmbi
IIVI,II-VI Incorporated,35.17,2.23B,2230000000,1987,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/iivi
PDCO,"Patterson Companies, Inc.",23.46,2.23B,2230000000,1992,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/pdco
SKYY,First Trust Cloud Computing ETF,58.24,2.21B,2210000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/skyy
HCSG,"Healthcare Services Group, Inc.",29.83,2.21B,2210000000,1983,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hcsg
MLHR,"Herman Miller, Inc.",37.62,2.21B,2210000000,n/a,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/mlhr
MEDP,"Medpace Holdings, Inc.",61.78,2.21B,2210000000,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/medp
NEO,"NeoGenomics, Inc.",23.1,2.21B,2210000000,n/a,Health Care,Precision Instruments,https://www.nasdaq.com/symbol/neo
ALGT,Allegiant Travel Company,134.83,2.2B,2200000000,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
SFM,"Sprouts Farmers Market, Inc.",18.64,2.2B,2200000000,2013,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/sfm
UFPI,"Universal Forest Products, Inc.",35.89,2.2B,2200000000,1993,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/ufpi
WDFC,WD-40 Company,159.3,2.2B,2200000000,1973,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/wdfc
CVLT,"Commvault Systems, Inc.",47.84,2.19B,2190000000,2006,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cvlt
ARLP,"Alliance Resource Partners, L.P.",16.98,2.18B,2180000000,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
POWI,"Power Integrations, Inc.",74.47,2.18B,2180000000,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/powi
SVMK,SVMK Inc.,16.75,2.18B,2180000000,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/svmk
UCBI,"United Community Banks, Inc.",27.42,2.17B,2170000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ucbi
PENN,"Penn National Gaming, Inc.",18.46,2.16B,2160000000,1994,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/penn
LGND,Ligand Pharmaceuticals Incorporated,109.88,2.15B,2150000000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lgnd
SFNC,Simmons First National Corporation,22.38,2.15B,2150000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sfnc
RUN,Sunrun Inc.,18.68,2.15B,2150000000,2015,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/run
AKCA,"Akcea Therapeutics, Inc.",23.07,2.14B,2140000000,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
JACK,Jack In The Box Inc.,82.85,2.14B,2140000000,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jack
MYOK,"MyoKardia, Inc.",46.47,2.14B,2140000000,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myok
HAIN,"The Hain Celestial Group, Inc.",20.53,2.14B,2140000000,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/hain
WSFS,WSFS Financial Corporation,39.81,2.13B,2130000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wsfs
ENPH,"Enphase Energy, Inc.",17.49,2.12B,2120000000,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/enph
XLRN,Acceleron Pharma Inc.,40.14,2.11B,2110000000,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
FELE,"Franklin Electric Co., Inc.",45.42,2.11B,2110000000,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/fele
IPAR,"Inter Parfums, Inc.",66.6,2.09B,2090000000,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ipar
LX,LexinFintech Holdings Ltd.,11.9,2.09B,2090000000,2017,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/lx
